Form_orth,Form_ipa,Form_meaning,Donor_orth,Donor_ipa
niu,niu,coconut,,
Niukāhera,niukaːhera,"Newcastle (a city in New South Wales, Australia).",,
Noema,noema,November (month),November,nəʊvɛmbə
noho,noho,to sit,,
noke,noke,worm,,
nui,nui,big,,
Nāhinara,naːhinara,National (National Party),National,naʃənəl
Nīkora,niːkora,"A male given name, equivalent to English Nicholas.",,
Nōwei,noːwei,Norway,Norway,nɔːweɪ
nūpepa,nuːpepa,newspaper,newspaper,njuːzpeɪpə
o,o,"of
2006, Joanne Barker, Sovereignty Matters, page 208:
In 1979 a gathering of elders at the Waananga kaumatua affirmed te reo Maori “Ko te reo te mauri o te mana Maori” the language is the life principle of Maori mana.",,
oka,oka,yam,,
Oketopa,oketopa,October (month),October,ɒktəʊbə
oki,oki,rest,,
oma,oma,"run, race, flee, escape, move quickly, run away",,
one,one,"beach, sand, mud, soil, earth",,
onehunga,onehuŋa,"alluvial soil, beach composed of mixed sand and mud",,
onika,onika,onyx,,
ono,ono,six,,
ora,ora,"to exist, to be alive, well, safe, cured, recovered,",,
oroi,oroi,"to hone, sharpen",,
ota,ota,to eat raw,,
oti,oti,"finished, completed",,
otinga,otiŋa,"result, product, quotient",,
pai,pai,"good, He iwi hūmārire te Māori, he makoha, he aroha",,
paihikara,paihikara,bicycle,,
pakanga,pakaŋa,war; battle,,
Pakangakite,pakaŋakite,Warsaw,pakanga,pakaŋɡə
paki,paki,To slap,,
pakini,pakini,nick (small cut in a surface),,
pamakaranete,pamakaranete,pomegranate,,
panana,panana,banana,,
panata,panata,panther,,
pango,paŋo,black (colour/color),,
papa,papa,rump,,
papahū,papahuː,"to ignite, flare up, burst into flame",,
papakupu,papakupu,"dictionary, Synonym: tikinare, lexicon, vocabulary",,
papamahi,papamahi,(computing) desktop,,
parai,parai,to fry,,
Paraire,paraire,Friday,Friday,fɹaɪdeɪ
parakuihi,parakuihi,breakfast,breakfast,bɹɛkfəst
Pare,pare,"A female given name, equivalent to English Polly.",,
parāoa,paraːoa,"sperm whale (Physeter macrocephalus), Synonym: pāmu",,
parāoa,paraːoa,"flour, bread",flour,flaʊə
Parī,pariː,Paris (the capital of France),,
Parīhi,pariːhi,Brazil (a country in South America),,
pata,pata,"granule, drip",,
pea,pea,bear,bear,beə
Pearīni,peariːni,Berlin (the capital of Germany),,
Pehiamu,pehiamu,Belgium (a country in Europe),,
peka,peka,bat (the flying mammal),,
pekapeka,pekapeka,bat (animal),,
