ID,Form,IPA,Language_ID
840,Whiti,fiti,0
841,Yakaru,yakaru,0
842,Yuropi,yuropi,0
843,Yuropi,yuropi,0
844,Abysinnia,ɐbɪsɪniə,1
845,Ireland,aɪələnd,1
846,Africa,afɹɪkə,1
847,Africa,afɹɪkə,1
848,Asia,eɪʃə,1
849,Asia  Minor,eɪʃəmaɪnə,1
850,Asia  Minor,eɪʃəmaɪnə,1
851,Asia  Minor,eɪʃəmaɪnə,1
852,Assyria,ɐsɪɹiə,1
853,Ireland,aɪələnd,1
854,Iceland,aɪslənd,1
855,Ireland,aɪələnd,1
856,Ireland,aɪələnd,1
857,Ireland,aɪələnd,1
858,Acre,eɪkə,1
859,Auckland,ɔːklənd,1
860,Alma,ɒlmə,1
861,Amsterdam,amstədam,1
862,Armenia,ɑːmiːniə,1
863,America,ɐmɛɹɪkə,1
864,Armenia,ɑːmiːniə,1
865,Amoy,amɔɪ,1
866,Antioch,antiːɒk,1
867,Anglesea,aŋɡəlsiə,1
868,Gibraltar,d͡ʒɪbɹɒltə,1
869,Africa,afɹɪkə,1
870,Algoa  Bay,alɡəʊəbeɪ,1
871,Arabia,əɹeɪbiə,1
872,Ararat,aɹɐɹat,1
873,Adelaide,adəleɪd,1
874,Alexandria,alɪɡzandɹiə,1
875,Alexandra,alɪɡzandɹə,1
876,Alexandria,alɪɡzandɹiə,1
877,Alcantara,alkantɑːɹə,1
878,Alexandria,alɪɡzandɹiə,1
879,Aliens  Creek,eɪliənzkɹiːk,1
880,Arabia,əɹeɪbiə,1
881,Alexandria,alɪɡzandɹiə,1
882,Alps,alps,1
883,Armenia,ɑːmiːniə,1
884,Australia,ɒstɹeɪliə,1
885,Australia,ɒstɹeɪliə,1
886,Australia,ɒstɹeɪliə,1
887,Adelaide,adəleɪd,1
888,Australia,ɒstɹeɪliə,1
889,Austria,ɒstɹiə,1
890,Australia,ɒstɹeɪliə,1
891,Athens,aθɪnz,1
892,Athens,aθɪnz,1
893,Adelaide,adəleɪd,1
894,Australia,ɒstɹeɪliə,1
895,Athens,aθɪnz,1
896,Adelaide,adəleɪd,1
897,Adelaide,adəleɪd,1
898,Atlantic,ɐtlantɪk,1
899,Adelaide,adəleɪd,1
900,Adelaide,adəleɪd,1
901,Adelaide,adəleɪd,1
902,Adelaide,adəleɪd,1
903,Austria,ɒstɹiə,1
904,Oude,aʊd,1
905,Australia,ɒstɹeɪliə,1
906,Austria,ɒstɹiə,1
907,Autun,ɔːtʌn,1
908,Ava,ɑːvə,1
909,Africa,afɹɪkə,1
910,Africa,afɹɪkə,1
